,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,acc_year,acc_month,acc_hr_day,new_date,day_name
194406,A-194408,MapQuest,201.0,2,2016-12-01 08:21:11,2016-12-01 08:50:48,40.770107,-73.957397,0.01,Accident school bus involved on 2nd Ave both ways at 74th St.,272.0,E 74th St,R,New York,New York,NY,10021-3790,US,US/Eastern,KNYC,2016-12-01 07:51:00,52.0,,80.0,29.61,10.0,West,5.8,,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,8,2016-12-01,Thursday
194420,A-194422,MapQuest,241.0,3,2016-12-01 08:49:35,2016-12-01 09:19:14,40.849579,-73.942314,1.13,Center lane blocked due to accident on I-95 George Washington Brg Northbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-01 08:51:00,52.0,,66.0,29.63,10.0,West,9.2,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-01,Thursday
194473,A-194475,MapQuest,245.0,2,2016-12-01 12:08:26,2016-12-01 12:37:55,40.748028000000005,-73.96817,0.01,Two lanes blocked due to accident on FDR Dr Northbound at Exits 8 9 Franklin Delano Roosevelt Drive Service Rd.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-12-01 11:51:00,53.1,,50.0,29.64,10.0,North,,,Clear,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016,12,12,2016-12-01,Thursday
194538,A-194540,MapQuest,201.0,2,2016-12-02 05:19:11,2016-12-02 05:49:02,40.761722999999996,-73.982803,0.01,Accident on 51st St at 7th Ave.,785.0,7th Ave,R,New York,New York,NY,10019-6806,US,US/Eastern,KNYC,2016-12-02 04:51:00,39.9,33.9,60.0,29.88,10.0,West,9.2,,Partly Cloudy,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016,12,5,2016-12-02,Friday
194556,A-194558,MapQuest-Bing,241.0,2,2016-12-02 07:09:04,2016-12-02 07:38:36,40.782818,-73.943871,0.01,Center lane blocked due to accident on FDR Dr Northbound near Exit 14 96th St.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-12-02 06:51:00,41.0,38.0,60.0,29.9,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,7,2016-12-02,Friday
194615,A-194617,MapQuest,201.0,2,2016-12-02 11:43:21,2016-12-02 12:13:11,40.80127,-73.929916,0.01,Accident on FDR Dr Northbound at Exits 17 18 19 Robert F Kennedy Bridge.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-02 11:51:00,48.9,,46.0,29.88,10.0,WNW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,11,2016-12-02,Friday
194626,A-194628,MapQuest,201.0,2,2016-12-02 12:27:57,2016-12-02 12:57:25,40.80127,-73.929916,0.01,Left lane blocked due to accident on Harlem River Dr Southbound at Exit 17 FDR Dr.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-02 12:51:00,50.0,,43.0,29.86,10.0,Variable,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,12,2016-12-02,Friday
194627,A-194629,MapQuest,201.0,2,2016-12-02 12:35:15,2016-12-02 13:04:24,40.847115,-73.92851999999999,0.01,Right lane blocked due to accident on Harlem River Dr Northbound at George Washington Brdg.,,Harlem River Dr N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-02 12:51:00,50.0,,43.0,29.86,10.0,Variable,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,12,2016-12-02,Friday
194758,A-194760,MapQuest,201.0,2,2016-12-04 18:55:32,2016-12-04 19:25:04,40.744907,-73.970863,0.01,Accident on FDR Dr Northbound at Exits 8 9 Franklin Delano Roosevelt Drive Service Rd.,,FDR Dr N,R,New York,New York,NY,10016,US,US/Eastern,KNYC,2016-12-04 18:51:00,42.1,,49.0,30.19,10.0,Calm,,,Clear,True,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016,12,18,2016-12-04,Sunday
194789,A-194791,MapQuest,201.0,2,2016-12-05 06:08:35,2016-12-05 06:37:18,40.793903,-73.932022,0.01,Accident on FDR Dr Northbound at Exit 16 116th St.,,FDR Dr S,R,New York,New York,NY,10029,US,US/Eastern,KNYC,2016-12-05 05:51:00,39.0,,89.0,30.02,3.0,Calm,,0.04,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016,12,6,2016-12-05,Monday
194960,A-194962,MapQuest,201.0,2,2016-12-05 13:37:20,2016-12-05 14:22:08,40.811199,-73.961563,0.01,Accident pedestrian involved on Broadway at 121st St.,3058.0,Broadway,R,New York,New York,NY,10027-5705,US,US/Eastern,KNYC,2016-12-05 13:51:00,48.0,,58.0,29.96,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,13,2016-12-05,Monday
194967,A-194969,MapQuest,241.0,2,2016-12-05 15:35:00,2016-12-05 16:19:44,40.735397,-73.974899,0.01,Center lane blocked due to accident on FDR Dr Southbound at Avenue C.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2016-12-05 15:35:00,51.8,,54.0,30.42,,West,8.1,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,15,2016-12-05,Monday
195000,A-195002,MapQuest,241.0,3,2016-12-05 20:19:48,2016-12-05 21:04:20,40.851543,-73.95208000000001,0.01,Left lane blocked due to accident on I-95 (upper level) Northbound at I-95 George Washington Brg.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-05 19:51:00,45.0,,60.0,30.05,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,20,2016-12-05,Monday
195047,A-195049,MapQuest,241.0,2,2016-12-06 07:32:15,2016-12-06 08:01:17,40.84584,-73.931061,0.01,Right lane blocked due to accident on I-95 George Washington Brg (upper level) Southbound at Exit 2 Amsterdam Ave.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-06 07:51:00,39.0,,65.0,30.13,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,7,2016-12-06,Tuesday
